SystemID,InstallationDate,SystemSize,TotalInstalledPrice,SalesTaxCost,RebateOrGrant,PerformanceBasedIncentiveAnnualPayment,PerformanceBasedIncentivesDuration,CustomerSegment,ZipCode,State,ModuleEfficiency
CT_CGB_24024,7/5/2017,10.5,35700,0,4742,0,0,RES,6029,CT,0.200951384
MD_MEA_1713,4/20/2017,10.5,34650,0,1000,0,0,RES,-9999,MD,-9999
CA-NEM-638970,4/13/2010,3.87,25700,1086.289511,3338,0,0,RES,92008,CA,0.13030303
MA_DOER_CEC_67466,8/17/2015,6.76,31426.2,0,-9999,0,0,RES,2703,MA,-9999
OH-Ohio Public Utilities Commission-245,6/3/2016,5.6,-9999,-9999,-9999,0,0,RES,44107,OH,-9999
NY_NYSERDA_75115,9/11/2015,6.12,34272,0,4896,0,0,RES,12205,NY,0.157407407
CT_CGB_12851,8/6/2015,6.24,19007.73,0,0,0,0,RES,6786,CT,0.158536585
NY_NYSERDA_28053,2/23/2017,9.88,42088.8,0,2292,0,0,RES,12538,NY,0.163846924
MA_DOER_CEC_102158,2/25/2015,4.48,20900,0,1120,0,0,RES,2653,MA,-9999
MD_MEA_13453,1/7/2013,33.66,134640,0,2019.6,0,0,NON-RES,-9999,MD,-9999
NY_NYSERDA_34088,7/25/2017,2.64,11056,0,1056,0,0,RES,10469,NY,0.192982456
CA_LADWP_36559,9/14/2017,4.251506703,17325,394.8238042,1063,0,0,RES,91402,CA,0.167682927
CT_CGB_6261,10/20/2014,8.502,39534.3,0,8380,0,0,RES,6437,CT,0.200613497
CA-NEM-606771,6/16/2016,5.32,22196,505.7397581,0,0,0,RES,92154,CA,0.176100629
OR_DOE_15498,9/23/2017,7.2,19380,0,-9999,0,0,RES,97229,OR,0.183284457
MA_DOER_CEC_6332,9/19/2013,13.23,44982,0,-9999,0,0,RES,1742,MA,0.148484848
MA_DOER_CEC_37384,12/31/2015,14.49,70785,0,-9999,0,0,RES,1373,MA,0.211656442
UT_OED_15008,5/8/2017,2.4,11325,179.6151953,-9999,0,0,RES,-9999,UT,-9999
CA_LADWP_10016,6/28/2013,4.836121467,29376,579.2573333,5078,0,0,RES,91604,CA,0.146341463
MA_DOER_CEC_57165,9/29/2015,9.62,53872,0,-9999,0,0,RES,2673,MA,-9999
NY_NYSERDA_58157,7/30/2009,5.76,39195.2,0,22280,0,0,RES,13166,NY,0.130434783
CA-NEM-664983,1/14/2014,6,-9999,-9999,0,0,0,RES,92011,CA,0.155279503
NH_PUC_3577,6/22/2017,4.32,12850,0,2160,0,0,RES,3257,NH,0.167701863
NY_NYSERDA_14545,12/16/2016,3.18,12084.01,0,1908,0,0,RES,11413,NY,0.161585366
CA_SMUD_15291,11/4/2016,6.625,-9999,-9999,500,0,0,RES,95838,CA,0.158682635
TX_AE_5864,1/24/2017,22.995,71453.71,2049.939519,8433.6,0,0,RES,-9999,TX,-9999
Ameren_1301,1/26/2011,6.21,-9999,-9999,-9999,0,0,RES,65079,MO,-9999
OR_DOE_12057,4/27/2016,6.96,22024.8,0,-9999,0,0,RES,97386,OR,-9999
NY_NYSERDA_75156,7/24/2015,6.12,34272,0,1340,0,0,RES,11718,NY,0.157407407
MA_DOER_CEC_48618,2/26/2015,4.845,26744.4,0,-9999,0,0,RES,2532,MA,-9999
CA-NEM-618718,1/6/2017,3.72,16740,345.4644798,0,0,0,RES,92154,CA,0.18902439
MA_DOER_CEC_22930,5/28/2015,2.86,15787.2,0,-9999,0,0,RES,2790,MA,-9999
CA_SMUD_15588,11/4/2016,10.07,-9999,-9999,500,0,0,RES,95757,CA,0.168569809
MA_DOER_CEC_18971,8/19/2015,4.68,25833.6,0,-9999,0,0,RES,2649,MA,-9999
NY_NYSERDA_28081,5/24/2017,13,45760,0,3588,0,0,RES,10523,NY,0.158536585
CA_LADWP_5126,7/26/2012,5.096498534,30646,669.3594816,7644,0,0,RES,90292,CA,0.153846154
CA-NEM-611945,9/15/2016,5.7,17000,541.8640265,0,0,0,RES,91945,CA,0.173780488
MA_DOER_CEC_11396,10/25/2013,4,20000,0,1600,0,0,RES,2476,MA,-9999
CA-NEM-599759,4/7/2016,4.16,19123,395.4656755,0,0,0,RES,92027,CA,0.157575758
MA_DOER_CEC_31517,4/6/2015,4.9,27048,0,-9999,0,0,RES,1519,MA,-9999
CA_LADWP_4147,8/21/2012,12.1797104,81036,1599.648187,18270,0,0,RES,91423,CA,0.200613497
CT_CGB_15052,1/15/2016,10.66,55965,0,0,0,0,RES,6026,CT,0.162638344
NY_NYSERDA_28810,3/29/2017,8.68,36976.8,0,2569,0,0,RES,12570,NY,0.167664671
DE_Delmarva_6297,8/21/2017,4.96,16499,0,2480,0,0,RES,19734,DE,-9999
CA-NEM-653921,6/30/2006,3.44,25339,1790.113738,8365.6,0,0,RES,91911,CA,-9999
CT_CGB_4969,4/3/2015,10.35,50445.9,0,7352,0,0,RES,6611,CT,0.211656442
CA-NEM-626983,5/22/2017,5.68,10000,527.4833993,0,0,0,RES,91932,CA,0.18148542
UT_OED_581,7/1/2013,4.68,15930,453.3241204,-9999,0,0,RES,-9999,UT,-9999
Ameren_1424,5/7/2014,21.165,-9999,-9999,-9999,0,0,RES,63084,MO,-9999
CA_SMUD_15258,11/30/2016,4.68,-9999,-9999,500,0,0,RES,95624,CA,0.160493827
NY_NYSERDA_74121,1/12/2015,14.75,82600,0,4012,0,0,RES,11572,NY,0.161290323
