,Size,price,CleanPrice,efficiency,CostPerKW,IncentivePct,State,zip,Year,ResidentialRate,SolarRadiation,Month,Date,ConstructionPriceIndex,ROIYears
2746,14.061,54838.0,48780.0,0.200613497,3469.170044804779,0.11047084138735913,CT,6757,2017,19.82,4.4071428571428575,1,2017-01-01,124.5,10.881078532813147
2747,4.68,24570.0,24570.0,0.160493827,5250.0,0.0,CT,6516,2017,19.82,4.4071428571428575,1,2017-01-01,124.5,16.466665386672812
2748,3.36,11067.85,11067.85,0.17073170699999998,3294.0029761904775,0.0,CT,6405,2017,19.82,4.4071428571428575,1,2017-01-01,124.5,10.331665674596753
2749,10.56,46464.0,41734.0,0.196233061,3952.083333333333,0.10179924242424243,CT,6279,2017,19.82,4.4071428571428575,1,2017-01-01,124.5,12.39573977718981
2750,5.865,20879.4,18910.4,0.164516129,3224.2796248934355,0.09430347615352933,CT,6783,2017,19.82,4.4071428571428575,1,2017-01-01,124.5,10.112977846892788
2751,13.12,47888.0,42180.0,0.196233061,3214.939024390244,0.11919478783828935,CT,6066,2017,19.82,4.4071428571428575,1,2017-01-01,124.5,10.083680981560093
2752,9.18,36720.0,32575.0,0.164634146,3548.4749455337687,0.11288126361655773,CT,6850,2017,19.82,4.4071428571428575,1,2017-01-01,124.5,11.129818964018403
2753,14.56,76440.0,76440.0,0.160493827,5250.0,0.0,CT,6516,2017,19.82,4.4071428571428575,1,2017-01-01,124.5,16.466665386672815
2754,5.61,19185.2,15741.635707799998,0.157567406,2805.995669839572,0.17949066427246,TX,78251,2017,11.01,5.614847826086949,1,2017-01-01,124.5,12.435659512623781
2755,11.4,45000.0,37860.597909,0.173780488,3321.1050797368416,0.1586533798,TX,78251,2017,11.01,5.614847826086949,1,2017-01-01,124.5,14.71853018918375
2756,8.68,27342.0,21843.5075657,0.16969697,2516.53312968894,0.20110059374954284,TX,78233,2017,11.01,5.614847826086949,1,2017-01-01,124.5,11.152814485575592
2757,8.12,28014.0,22870.245142099997,0.16969697,2816.5326529679805,0.18361372377739704,TX,78266,2017,11.01,5.614847826086949,1,2017-01-01,124.5,12.482357494336146
2758,5.04,17920.0,18369.3018123,0.16969697,3644.7027405357135,-0.025072645775669644,TX,78251,2017,11.01,5.614847826086949,1,2017-01-01,124.5,16.152655826664283
